win rate: 0.610	loss rate: 0.273	tie rate: 0.117
win rate: 0.905	loss rate: 0.063	tie rate: 0.032
win rate: 0.883	loss rate: 0.080	tie rate: 0.037
win rate: 0.866	loss rate: 0.092	tie rate: 0.042
win rate: 0.834	loss rate: 0.100	tie rate: 0.066
win rate: 0.911	loss rate: 0.067	tie rate: 0.022
win rate: 0.890	loss rate: 0.064	tie rate: 0.046
win rate: 0.884	loss rate: 0.078	tie rate: 0.038
win rate: 0.853	loss rate: 0.105	tie rate: 0.042
win rate: 0.572	loss rate: 0.311	tie rate: 0.117
win rate: 0.860	loss rate: 0.076	tie rate: 0.064
win rate: 0.826	loss rate: 0.123	tie rate: 0.051
win rate: 0.845	loss rate: 0.092	tie rate: 0.063
win rate: 0.833	loss rate: 0.123	tie rate: 0.044
win rate: 0.870	loss rate: 0.074	tie rate: 0.056
win rate: 0.813	loss rate: 0.130	tie rate: 0.057
win rate: 0.885	loss rate: 0.058	tie rate: 0.057
win rate: 0.765	loss rate: 0.155	tie rate: 0.080
win rate: 0.863	loss rate: 0.089	tie rate: 0.048
win rate: 0.587	loss rate: 0.302	tie rate: 0.111
win rate: 0.877	loss rate: 0.091	tie rate: 0.032
win rate: 0.815	loss rate: 0.131	tie rate: 0.054
win rate: 0.887	loss rate: 0.074	tie rate: 0.039
win rate: 0.857	loss rate: 0.113	tie rate: 0.030
win rate: 0.907	loss rate: 0.058	tie rate: 0.035
win rate: 0.859	loss rate: 0.106	tie rate: 0.035
win rate: 0.934	loss rate: 0.045	tie rate: 0.021
win rate: 0.838	loss rate: 0.102	tie rate: 0.060
win rate: 0.799	loss rate: 0.154	tie rate: 0.047
win rate: 0.576	loss rate: 0.290	tie rate: 0.134
win rate: 0.891	loss rate: 0.051	tie rate: 0.058
win rate: 0.859	loss rate: 0.088	tie rate: 0.053
win rate: 0.811	loss rate: 0.129	tie rate: 0.060
win rate: 0.816	loss rate: 0.137	tie rate: 0.047
win rate: 0.899	loss rate: 0.053	tie rate: 0.048
win rate: 0.800	loss rate: 0.139	tie rate: 0.061
win rate: 0.915	loss rate: 0.056	tie rate: 0.029
win rate: 0.860	loss rate: 0.102	tie rate: 0.038
win rate: 0.867	loss rate: 0.101	tie rate: 0.032
